name	descr	pvalue	qvalue
TRANSMEMBRANE RECEPTOR PROTEIN TYROSINE KINASE ADAPTOR ACTIVITY%GOMF%GO:0005068	TRANSMEMBRANE RECEPTOR PROTEIN TYROSINE KINASE ADAPTOR ACTIVITY%GOMF%GO:0005068	0.381	0.587741797597042
PUTRESCINE DEGRADATION III%BIOCYC%PWY-0	PUTRESCINE DEGRADATION III%BIOCYC%PWY-0	0.381	0.587741797597042
IL4-MEDIATED SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%IL4-MEDIATED SIGNALING EVENTS	IL4-MEDIATED SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%IL4-MEDIATED SIGNALING EVENTS	0.381	0.587741797597042
MAPK6 MAPK4 SIGNALING%REACTOME DATABASE ID RELEASE 83%5687128	MAPK6 MAPK4 SIGNALING%REACTOME DATABASE ID RELEASE 83%5687128	0.381	0.587741797597042
STIMULI-SENSING CHANNELS%REACTOME DATABASE ID RELEASE 83%2672351	STIMULI-SENSING CHANNELS%REACTOME DATABASE ID RELEASE 83%2672351	0.381	0.587741797597042
MRNA TRANSPORT%GOBP%GO:0051028	MRNA TRANSPORT%GOBP%GO:0051028	0.382	0.588740304709141
GPI ANCHOR BIOSYNTHETIC PROCESS%GOBP%GO:0006506	GPI ANCHOR BIOSYNTHETIC PROCESS%GOBP%GO:0006506	0.382	0.588740304709141
POSITIVE REGULATION OF NEURAL PRECURSOR CELL PROLIFERATION%GOBP%GO:2000179	POSITIVE REGULATION OF NEURAL PRECURSOR CELL PROLIFERATION%GOBP%GO:2000179	0.382	0.588740304709141
REGULATION OF PROTEIN LOCALIZATION TO NUCLEUS%GOBP%GO:1900180	REGULATION OF PROTEIN LOCALIZATION TO NUCLEUS%GOBP%GO:1900180	0.382	0.588740304709141
INTRACELLULAR CHEMICAL HOMEOSTASIS%GOBP%GO:0055082	INTRACELLULAR CHEMICAL HOMEOSTASIS%GOBP%GO:0055082	0.382	0.588740304709141
UDP PHOSPHATASE ACTIVITY%GOMF%GO:0045134	UDP PHOSPHATASE ACTIVITY%GOMF%GO:0045134	0.382	0.588740304709141
METAL ION TRANSMEMBRANE TRANSPORTER ACTIVITY%GOMF%GO:0046873	METAL ION TRANSMEMBRANE TRANSPORTER ACTIVITY%GOMF%GO:0046873	0.382	0.588740304709141
TRANSFERRIN RECEPTOR BINDING%GOMF%GO:1990459	TRANSFERRIN RECEPTOR BINDING%GOMF%GO:1990459	0.382	0.588740304709141
REGULATION OF OSTEOCLAST DEVELOPMENT%GOBP%GO:2001204	REGULATION OF OSTEOCLAST DEVELOPMENT%GOBP%GO:2001204	0.383	0.589533025936599
POSITIVE REGULATION OF T-HELPER CELL DIFFERENTIATION%GOBP%GO:0045624	POSITIVE REGULATION OF T-HELPER CELL DIFFERENTIATION%GOBP%GO:0045624	0.383	0.589533025936599
REGULATION OF CELL MIGRATION INVOLVED IN SPROUTING ANGIOGENESIS%GOBP%GO:0090049	REGULATION OF CELL MIGRATION INVOLVED IN SPROUTING ANGIOGENESIS%GOBP%GO:0090049	0.383	0.589533025936599
NEGATIVE REGULATION OF NEURON DIFFERENTIATION%GOBP%GO:0045665	NEGATIVE REGULATION OF NEURON DIFFERENTIATION%GOBP%GO:0045665	0.383	0.589533025936599
INFLAMMASOME COMPLEX ASSEMBLY%GOBP%GO:0140632	INFLAMMASOME COMPLEX ASSEMBLY%GOBP%GO:0140632	0.383	0.589533025936599
CYTOPLASMIC RIBONUCLEOPROTEIN GRANULE%GOCC%GO:0036464	CYTOPLASMIC RIBONUCLEOPROTEIN GRANULE%GOCC%GO:0036464	0.383	0.589533025936599
SMALL MOLECULE BIOSYNTHETIC PROCESS%GOMF%GO:0044283	SMALL MOLECULE BIOSYNTHETIC PROCESS%GOMF%GO:0044283	0.383	0.589533025936599
SODIUM:PROTON ANTIPORTER ACTIVITY%GOMF%GO:0015385	SODIUM:PROTON ANTIPORTER ACTIVITY%GOMF%GO:0015385	0.383	0.589533025936599
STABILIZATION OF P53%REACTOME DATABASE ID RELEASE 83%69541	STABILIZATION OF P53%REACTOME DATABASE ID RELEASE 83%69541	0.383	0.589533025936599
G1 S DNA DAMAGE CHECKPOINTS%REACTOME DATABASE ID RELEASE 83%69615	G1 S DNA DAMAGE CHECKPOINTS%REACTOME DATABASE ID RELEASE 83%69615	0.383	0.589533025936599
TRYPTOPHAN CATABOLISM LEADING TO NAD+ PRODUCTION%WIKIPATHWAYS_20220510%WP4210%HOMO SAPIENS	TRYPTOPHAN CATABOLISM LEADING TO NAD+ PRODUCTION%WIKIPATHWAYS_20220510%WP4210%HOMO SAPIENS	0.383	0.589533025936599
AUTOPHAGOSOME MEMBRANE DOCKING%GOBP%GO:0016240	AUTOPHAGOSOME MEMBRANE DOCKING%GOBP%GO:0016240	0.384	0.590323739350679
POSITIVE REGULATION OF T CELL DIFFERENTIATION%GOBP%GO:0045582	POSITIVE REGULATION OF T CELL DIFFERENTIATION%GOBP%GO:0045582	0.384	0.590323739350679
LOW-DENSITY LIPOPROTEIN PARTICLE REMODELING%GOBP%GO:0034374	LOW-DENSITY LIPOPROTEIN PARTICLE REMODELING%GOBP%GO:0034374	0.384	0.590323739350679
POSITIVE REGULATION OF NITRIC-OXIDE SYNTHASE ACTIVITY%GOBP%GO:0051000	POSITIVE REGULATION OF NITRIC-OXIDE SYNTHASE ACTIVITY%GOBP%GO:0051000	0.384	0.590323739350679
LEUCINE METABOLIC PROCESS%GOBP%GO:0006551	LEUCINE METABOLIC PROCESS%GOBP%GO:0006551	0.384	0.590323739350679
RESPONSE TO UNFOLDED PROTEIN%GOBP%GO:0006986	RESPONSE TO UNFOLDED PROTEIN%GOBP%GO:0006986	0.384	0.590323739350679
REGULATION OF MEMBRANE PERMEABILITY%GOBP%GO:0090559	REGULATION OF MEMBRANE PERMEABILITY%GOBP%GO:0090559	0.384	0.590323739350679
ESTABLISHMENT OR MAINTENANCE OF CELL POLARITY%GOBP%GO:0007163	ESTABLISHMENT OR MAINTENANCE OF CELL POLARITY%GOBP%GO:0007163	0.384	0.590323739350679
PROTEIN KINASE ACTIVATOR ACTIVITY%GOMF%GO:0030295	PROTEIN KINASE ACTIVATOR ACTIVITY%GOMF%GO:0030295	0.384	0.590323739350679
INTRACELLULAR SIGNAL TRANSDUCTION%GOMF%GO:0035556	INTRACELLULAR SIGNAL TRANSDUCTION%GOMF%GO:0035556	0.384	0.590323739350679
AURKA ACTIVATION BY TPX2%REACTOME%R-HSA-8854518.3	AURKA ACTIVATION BY TPX2%REACTOME%R-HSA-8854518.3	0.384	0.590323739350679
ALCOHOL METABOLIC PROCESS%GOBP%GO:0006066	ALCOHOL METABOLIC PROCESS%GOBP%GO:0006066	0.385	0.591180427782889
RNA POLYADENYLATION%GOBP%GO:0043631	RNA POLYADENYLATION%GOBP%GO:0043631	0.385	0.591180427782889
NEGATIVE REGULATION OF DNA-TEMPLATED TRANSCRIPTION, ELONGATION%GOBP%GO:0032785	NEGATIVE REGULATION OF DNA-TEMPLATED TRANSCRIPTION, ELONGATION%GOBP%GO:0032785	0.385	0.591180427782889
REGULATION OF PEPTIDYL-CYSTEINE S-NITROSYLATION%GOBP%GO:2000169	REGULATION OF PEPTIDYL-CYSTEINE S-NITROSYLATION%GOBP%GO:2000169	0.385	0.591180427782889
REGULATION OF ELECTRON TRANSFER ACTIVITY%GOBP%GO:1904732	REGULATION OF ELECTRON TRANSFER ACTIVITY%GOBP%GO:1904732	0.385	0.591180427782889
NEURONAL CELL BODY%GOCC%GO:0043025	NEURONAL CELL BODY%GOCC%GO:0043025	0.385	0.591180427782889
HISTONE BINDING%GOMF%GO:0042393	HISTONE BINDING%GOMF%GO:0042393	0.385	0.591180427782889
TRNA PROCESSING%GOMF%GO:0008033	TRNA PROCESSING%GOMF%GO:0008033	0.385	0.591180427782889
GAMMA-CATENIN BINDING%GOMF%GO:0045295	GAMMA-CATENIN BINDING%GOMF%GO:0045295	0.385	0.591180427782889
DNA IR-DOUBLE STRAND BREAKS AND CELLULAR RESPONSE VIA ATM%WIKIPATHWAYS_20220510%WP3959%HOMO SAPIENS	DNA IR-DOUBLE STRAND BREAKS AND CELLULAR RESPONSE VIA ATM%WIKIPATHWAYS_20220510%WP3959%HOMO SAPIENS	0.385	0.591180427782889
MESENCHYMAL CELL DIFFERENTIATION%GOBP%GO:0048762	MESENCHYMAL CELL DIFFERENTIATION%GOBP%GO:0048762	0.386	0.59196715286551
COTRANSLATIONAL PROTEIN TARGETING TO MEMBRANE%GOBP%GO:0006613	COTRANSLATIONAL PROTEIN TARGETING TO MEMBRANE%GOBP%GO:0006613	0.386	0.59196715286551
POSITIVE REGULATION OF APOPTOTIC PROCESS%GOBP%GO:0043065	POSITIVE REGULATION OF APOPTOTIC PROCESS%GOBP%GO:0043065	0.386	0.59196715286551
POSITIVE REGULATION OF MEGAKARYOCYTE DIFFERENTIATION%GOBP%GO:0045654	POSITIVE REGULATION OF MEGAKARYOCYTE DIFFERENTIATION%GOBP%GO:0045654	0.386	0.59196715286551
PROTEIN LOCALIZATION TO GOLGI MEMBRANE%GOBP%GO:1903292	PROTEIN LOCALIZATION TO GOLGI MEMBRANE%GOBP%GO:1903292	0.386	0.59196715286551
MITOTIC NUCLEAR DIVISION%GOBP%GO:0140014	MITOTIC NUCLEAR DIVISION%GOBP%GO:0140014	0.386	0.59196715286551
TIE1 TEK%IOB%TIE1 TEK	TIE1 TEK%IOB%TIE1 TEK	0.386	0.59196715286551
BIOCARTA_ERBB4_PATHWAY%MSIGDB_C2%BIOCARTA_ERBB4_PATHWAY	BIOCARTA_ERBB4_PATHWAY%MSIGDB_C2%BIOCARTA_ERBB4_PATHWAY	0.386	0.59196715286551
FORMATION OF THE TERNARY COMPLEX, AND SUBSEQUENTLY, THE 43S COMPLEX%REACTOME%R-HSA-72695.2	FORMATION OF THE TERNARY COMPLEX, AND SUBSEQUENTLY, THE 43S COMPLEX%REACTOME%R-HSA-72695.2	0.386	0.59196715286551
NEOVASCULARISATION PROCESSES%WIKIPATHWAYS_20220510%WP4331%HOMO SAPIENS	NEOVASCULARISATION PROCESSES%WIKIPATHWAYS_20220510%WP4331%HOMO SAPIENS	0.386	0.59196715286551
OVERLAP BETWEEN SIGNAL TRANSDUCTION PATHWAYS CONTRIBUTING TO LMNA LAMINOPATHIES%WIKIPATHWAYS_20220510%WP4879%HOMO SAPIENS	OVERLAP BETWEEN SIGNAL TRANSDUCTION PATHWAYS CONTRIBUTING TO LMNA LAMINOPATHIES%WIKIPATHWAYS_20220510%WP4879%HOMO SAPIENS	0.386	0.59196715286551
SPLICEOSOMAL TRI-SNRNP COMPLEX ASSEMBLY%GOBP%GO:0000244	SPLICEOSOMAL TRI-SNRNP COMPLEX ASSEMBLY%GOBP%GO:0000244	0.387	0.592955938037866
PURINE NUCLEOSIDE CATABOLIC PROCESS%GOBP%GO:0006152	PURINE NUCLEOSIDE CATABOLIC PROCESS%GOBP%GO:0006152	0.387	0.592955938037866
FATTY ACID DERIVATIVE METABOLIC PROCESS%GOBP%GO:1901568	FATTY ACID DERIVATIVE METABOLIC PROCESS%GOBP%GO:1901568	0.387	0.592955938037866
VENTRICULAR SYSTEM DEVELOPMENT%GOBP%GO:0021591	VENTRICULAR SYSTEM DEVELOPMENT%GOBP%GO:0021591	0.387	0.592955938037866
ACTIN FILAMENT BUNDLE ORGANIZATION%GOBP%GO:0061572	ACTIN FILAMENT BUNDLE ORGANIZATION%GOBP%GO:0061572	0.387	0.592955938037866
PROTEIN HOMODIMERIZATION ACTIVITY%GOMF%GO:0042803	PROTEIN HOMODIMERIZATION ACTIVITY%GOMF%GO:0042803	0.387	0.592955938037866
SIGNALING EVENTS MEDIATED BY HDAC CLASS II%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%SIGNALING EVENTS MEDIATED BY HDAC CLASS II	SIGNALING EVENTS MEDIATED BY HDAC CLASS II%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%SIGNALING EVENTS MEDIATED BY HDAC CLASS II	0.387	0.592955938037866
ENDOMETRIAL CANCER%WIKIPATHWAYS_20220510%WP4155%HOMO SAPIENS	ENDOMETRIAL CANCER%WIKIPATHWAYS_20220510%WP4155%HOMO SAPIENS	0.387	0.592955938037866
PEPTIDYL-THREONINE DEPHOSPHORYLATION%GOBP%GO:0035970	PEPTIDYL-THREONINE DEPHOSPHORYLATION%GOBP%GO:0035970	0.388	0.593534654599611
RAC PROTEIN SIGNAL TRANSDUCTION%GOBP%GO:0016601	RAC PROTEIN SIGNAL TRANSDUCTION%GOBP%GO:0016601	0.388	0.593534654599611
REGULATION OF HOMOTYPIC CELL-CELL ADHESION%GOBP%GO:0034110	REGULATION OF HOMOTYPIC CELL-CELL ADHESION%GOBP%GO:0034110	0.388	0.593534654599611
RESPONSE TO CAFFEINE%GOBP%GO:0031000	RESPONSE TO CAFFEINE%GOBP%GO:0031000	0.388	0.593534654599611
CELLULAR RESPONSE TO CAFFEINE%GOBP%GO:0071313	CELLULAR RESPONSE TO CAFFEINE%GOBP%GO:0071313	0.388	0.593534654599611
PROTEIN POLY-ADP-RIBOSYLATION%GOBP%GO:0070212	PROTEIN POLY-ADP-RIBOSYLATION%GOBP%GO:0070212	0.388	0.593534654599611
ESTABLISHMENT OF EPITHELIAL CELL APICAL/BASAL POLARITY%GOBP%GO:0045198	ESTABLISHMENT OF EPITHELIAL CELL APICAL/BASAL POLARITY%GOBP%GO:0045198	0.388	0.593534654599611
PROTEIN COMPLEX OLIGOMERIZATION%GOBP%GO:0051259	PROTEIN COMPLEX OLIGOMERIZATION%GOBP%GO:0051259	0.388	0.593534654599611
GAMMA-TUBULIN RING COMPLEX%GOCC%GO:0000931	GAMMA-TUBULIN RING COMPLEX%GOCC%GO:0000931	0.388	0.593534654599611
DICARBOXYLIC ACID TRANSMEMBRANE TRANSPORTER ACTIVITY%GOMF%GO:0005310	DICARBOXYLIC ACID TRANSMEMBRANE TRANSPORTER ACTIVITY%GOMF%GO:0005310	0.388	0.593534654599611
HALLMARK_HEDGEHOG_SIGNALING%MSIGDBHALLMARK%HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING%MSIGDBHALLMARK%HALLMARK_HEDGEHOG_SIGNALING	0.388	0.593534654599611
NORADRENALINE AND ADRENALINE DEGRADATION%BIOCYC%PWY-6342	NORADRENALINE AND ADRENALINE DEGRADATION%BIOCYC%PWY-6342	0.388	0.593534654599611
TNF RECEPTOR SUPERFAMILY (TNFSF) MEMBERS MEDIATING NON-CANONICAL NF-KB PATHWAY%REACTOME%R-HSA-5676594.2	TNF RECEPTOR SUPERFAMILY (TNFSF) MEMBERS MEDIATING NON-CANONICAL NF-KB PATHWAY%REACTOME%R-HSA-5676594.2	0.388	0.593534654599611
RECYCLING PATHWAY OF L1%REACTOME DATABASE ID RELEASE 83%437239	RECYCLING PATHWAY OF L1%REACTOME DATABASE ID RELEASE 83%437239	0.388	0.593534654599611
LYMPHANGIOGENESIS%GOBP%GO:0001946	LYMPHANGIOGENESIS%GOBP%GO:0001946	0.389	0.594315446224256
SUPRAMOLECULAR FIBER ORGANIZATION%GOBP%GO:0097435	SUPRAMOLECULAR FIBER ORGANIZATION%GOBP%GO:0097435	0.389	0.594315446224256
PLASMA MEMBRANE RAFT ASSEMBLY%GOBP%GO:0044854	PLASMA MEMBRANE RAFT ASSEMBLY%GOBP%GO:0044854	0.389	0.594315446224256
SELECTIVE AUTOPHAGY%GOBP%GO:0061912	SELECTIVE AUTOPHAGY%GOBP%GO:0061912	0.389	0.594315446224256
RETICULOPHAGY%GOBP%GO:0061709	RETICULOPHAGY%GOBP%GO:0061709	0.389	0.594315446224256
REGULATION OF HEART RATE BY CARDIAC CONDUCTION%GOBP%GO:0086091	REGULATION OF HEART RATE BY CARDIAC CONDUCTION%GOBP%GO:0086091	0.389	0.594315446224256
VESICLE UNCOATING%GOBP%GO:0072319	VESICLE UNCOATING%GOBP%GO:0072319	0.389	0.594315446224256
POSITIVE REGULATION OF TELOMERE CAPPING%GOBP%GO:1904355	POSITIVE REGULATION OF TELOMERE CAPPING%GOBP%GO:1904355	0.389	0.594315446224256
SMOOTH ENDOPLASMIC RETICULUM%GOCC%GO:0005790	SMOOTH ENDOPLASMIC RETICULUM%GOCC%GO:0005790	0.389	0.594315446224256
INOSITOL PHOSPHATE METABOLISM%SMPDB%SMP0000462	INOSITOL PHOSPHATE METABOLISM%SMPDB%SMP0000462	0.389	0.594315446224256
GOLGI ASSOCIATED VESICLE BIOGENESIS%REACTOME%R-HSA-432722.3	GOLGI ASSOCIATED VESICLE BIOGENESIS%REACTOME%R-HSA-432722.3	0.389	0.594315446224256
PHOSPHATIDYLCHOLINE METABOLIC PROCESS%GOBP%GO:0046470	PHOSPHATIDYLCHOLINE METABOLIC PROCESS%GOBP%GO:0046470	0.39	0.595230312035661
PURINE NUCLEOSIDE DIPHOSPHATE METABOLIC PROCESS%GOBP%GO:0009135	PURINE NUCLEOSIDE DIPHOSPHATE METABOLIC PROCESS%GOBP%GO:0009135	0.39	0.595230312035661
NEGATIVE REGULATION OF ALPHA-BETA T CELL PROLIFERATION%GOBP%GO:0046642	NEGATIVE REGULATION OF ALPHA-BETA T CELL PROLIFERATION%GOBP%GO:0046642	0.39	0.595230312035661
CERAMIDE METABOLIC PROCESS%GOBP%GO:0006672	CERAMIDE METABOLIC PROCESS%GOBP%GO:0006672	0.39	0.595230312035661
BIOCARTA_AGR_PATHWAY%MSIGDB_C2%BIOCARTA_AGR_PATHWAY	BIOCARTA_AGR_PATHWAY%MSIGDB_C2%BIOCARTA_AGR_PATHWAY	0.39	0.595230312035661
TRANSLESION SYNTHESIS BY POLI%REACTOME%R-HSA-5656121.1	TRANSLESION SYNTHESIS BY POLI%REACTOME%R-HSA-5656121.1	0.39	0.595230312035661
TRANSCRIPTIONAL REGULATION OF TESTIS DIFFERENTIATION%REACTOME DATABASE ID RELEASE 83%9690406	TRANSCRIPTIONAL REGULATION OF TESTIS DIFFERENTIATION%REACTOME DATABASE ID RELEASE 83%9690406	0.39	0.595230312035661
HATS ACETYLATE HISTONES%REACTOME%R-HSA-3214847.1	HATS ACETYLATE HISTONES%REACTOME%R-HSA-3214847.1	0.39	0.595230312035661
P130CAS LINKAGE TO MAPK SIGNALING FOR INTEGRINS%REACTOME%R-HSA-372708.1	P130CAS LINKAGE TO MAPK SIGNALING FOR INTEGRINS%REACTOME%R-HSA-372708.1	0.39	0.595230312035661
REGULATION OF BILE ACID BIOSYNTHETIC PROCESS%GOBP%GO:0070857	REGULATION OF BILE ACID BIOSYNTHETIC PROCESS%GOBP%GO:0070857	0.391	0.596279465509365
CELLULAR RESPONSE TO TOPOLOGICALLY INCORRECT PROTEIN%GOBP%GO:0035967	CELLULAR RESPONSE TO TOPOLOGICALLY INCORRECT PROTEIN%GOBP%GO:0035967	0.391	0.596279465509365
G1/S TRANSITION OF MITOTIC CELL CYCLE%GOBP%GO:0000082	G1/S TRANSITION OF MITOTIC CELL CYCLE%GOBP%GO:0000082	0.391	0.596279465509365
ADRENAL GLAND DEVELOPMENT%GOBP%GO:0030325	ADRENAL GLAND DEVELOPMENT%GOBP%GO:0030325	0.391	0.596279465509365
CHOLESTEROL METABOLIC PROCESS%GOBP%GO:0008203	CHOLESTEROL METABOLIC PROCESS%GOBP%GO:0008203	0.391	0.596279465509365
UBIQUITIN-LIKE PROTEIN LIGASE ACTIVITY%GOMF%GO:0061659	UBIQUITIN-LIKE PROTEIN LIGASE ACTIVITY%GOMF%GO:0061659	0.391	0.596279465509365
SELENOAMINO ACID METABOLISM%PATHWHIZ%PW000007	SELENOAMINO ACID METABOLISM%PATHWHIZ%PW000007	0.391	0.596279465509365
PROTEIN DESTABILIZATION%GOBP%GO:0031648	PROTEIN DESTABILIZATION%GOBP%GO:0031648	0.392	0.597326942827799
NEGATIVE REGULATION OF FIBROBLAST PROLIFERATION%GOBP%GO:0048147	NEGATIVE REGULATION OF FIBROBLAST PROLIFERATION%GOBP%GO:0048147	0.392	0.597326942827799
TRANSMEMBRANE TRANSPORT%GOBP%GO:0055085	TRANSMEMBRANE TRANSPORT%GOBP%GO:0055085	0.392	0.597326942827799
PID_GLYPICAN_1PATHWAY%MSIGDB_C2%PID_GLYPICAN_1PATHWAY	PID_GLYPICAN_1PATHWAY%MSIGDB_C2%PID_GLYPICAN_1PATHWAY	0.392	0.597326942827799
P53 PATHWAY BY GLUCOSE DEPRIVATION%PANTHER PATHWAY%P04397	P53 PATHWAY BY GLUCOSE DEPRIVATION%PANTHER PATHWAY%P04397	0.392	0.597326942827799
GENERATION OF SECOND MESSENGER MOLECULES%REACTOME DATABASE ID RELEASE 83%202433	GENERATION OF SECOND MESSENGER MOLECULES%REACTOME DATABASE ID RELEASE 83%202433	0.392	0.597326942827799
MET ACTIVATES RAP1 AND RAC1%REACTOME%R-HSA-8875555.1	MET ACTIVATES RAP1 AND RAC1%REACTOME%R-HSA-8875555.1	0.392	0.597326942827799
REGULATION OF KERATINOCYTE PROLIFERATION%GOBP%GO:0010837	REGULATION OF KERATINOCYTE PROLIFERATION%GOBP%GO:0010837	0.393	0.598099954410759
RESPONSE TO INDOLE-3-METHANOL%GOBP%GO:0071680	RESPONSE TO INDOLE-3-METHANOL%GOBP%GO:0071680	0.393	0.598099954410759
ROOF OF MOUTH DEVELOPMENT%GOBP%GO:0060021	ROOF OF MOUTH DEVELOPMENT%GOBP%GO:0060021	0.393	0.598099954410759
CELLULAR RESPONSE TO INDOLE-3-METHANOL%GOBP%GO:0071681	CELLULAR RESPONSE TO INDOLE-3-METHANOL%GOBP%GO:0071681	0.393	0.598099954410759
NEGATIVE REGULATION OF BLOOD VESSEL ENDOTHELIAL CELL PROLIFERATION INVOLVED IN SPROUTING ANGIOGENESIS%GOBP%GO:1903588	NEGATIVE REGULATION OF BLOOD VESSEL ENDOTHELIAL CELL PROLIFERATION INVOLVED IN SPROUTING ANGIOGENESIS%GOBP%GO:1903588	0.393	0.598099954410759
DYNACTIN COMPLEX%GOCC%GO:0005869	DYNACTIN COMPLEX%GOCC%GO:0005869	0.393	0.598099954410759
PHOSPHATIDYLINOSITOL 3-KINASE COMPLEX, CLASS III%GOCC%GO:0035032	PHOSPHATIDYLINOSITOL 3-KINASE COMPLEX, CLASS III%GOCC%GO:0035032	0.393	0.598099954410759
PEPTIDOGLYCAN BINDING%GOMF%GO:0042834	PEPTIDOGLYCAN BINDING%GOMF%GO:0042834	0.393	0.598099954410759
TBP-CLASS PROTEIN BINDING%GOMF%GO:0017025	TBP-CLASS PROTEIN BINDING%GOMF%GO:0017025	0.393	0.598099954410759
VEGF SIGNALING PATHWAY%PANTHER PATHWAY%P00056	VEGF SIGNALING PATHWAY%PANTHER PATHWAY%P00056	0.393	0.598099954410759
PATHWAYS AFFECTED IN ADENOID CYSTIC CARCINOMA%WIKIPATHWAYS_20220510%WP3651%HOMO SAPIENS	PATHWAYS AFFECTED IN ADENOID CYSTIC CARCINOMA%WIKIPATHWAYS_20220510%WP3651%HOMO SAPIENS	0.393	0.598099954410759
REGULATION OF TELOMERE CAPPING%GOBP%GO:1904353	REGULATION OF TELOMERE CAPPING%GOBP%GO:1904353	0.394	0.598871030165054
REGULATION OF T CELL ACTIVATION%GOBP%GO:0050863	REGULATION OF T CELL ACTIVATION%GOBP%GO:0050863	0.394	0.598871030165054
NEGATIVE REGULATION OF NIK/NF-KAPPAB SIGNALING%GOBP%GO:1901223	NEGATIVE REGULATION OF NIK/NF-KAPPAB SIGNALING%GOBP%GO:1901223	0.394	0.598871030165054
STEROL HOMEOSTASIS%GOBP%GO:0055092	STEROL HOMEOSTASIS%GOBP%GO:0055092	0.394	0.598871030165054
REGULATION OF NEUROBLAST PROLIFERATION%GOBP%GO:1902692	REGULATION OF NEUROBLAST PROLIFERATION%GOBP%GO:1902692	0.394	0.598871030165054
RESPONSE TO AMINO ACID STARVATION%GOBP%GO:1990928	RESPONSE TO AMINO ACID STARVATION%GOBP%GO:1990928	0.394	0.598871030165054
PHOTORECEPTOR CONNECTING CILIUM%GOCC%GO:0032391	PHOTORECEPTOR CONNECTING CILIUM%GOCC%GO:0032391	0.394	0.598871030165054
ARACHIDONIC ACID BINDING%GOMF%GO:0050544	ARACHIDONIC ACID BINDING%GOMF%GO:0050544	0.394	0.598871030165054
ICOSATETRAENOIC ACID BINDING%GOMF%GO:0050543	ICOSATETRAENOIC ACID BINDING%GOMF%GO:0050543	0.394	0.598871030165054
UBIQUITIN CONJUGATING ENZYME ACTIVITY%GOMF%GO:0061631	UBIQUITIN CONJUGATING ENZYME ACTIVITY%GOMF%GO:0061631	0.394	0.598871030165054
DEGRADATION PATHWAY OF SPHINGOLIPIDS, INCLUDING DISEASES%WIKIPATHWAYS_20220510%WP4153%HOMO SAPIENS	DEGRADATION PATHWAY OF SPHINGOLIPIDS, INCLUDING DISEASES%WIKIPATHWAYS_20220510%WP4153%HOMO SAPIENS	0.394	0.598871030165054
NEGATIVE REGULATION OF TYPE II INTERFERON-MEDIATED SIGNALING PATHWAY%GOBP%GO:0060336	NEGATIVE REGULATION OF TYPE II INTERFERON-MEDIATED SIGNALING PATHWAY%GOBP%GO:0060336	0.395	0.599163353402249
REGULATION OF CYSTEINE-TYPE ENDOPEPTIDASE ACTIVITY%GOBP%GO:2000116	REGULATION OF CYSTEINE-TYPE ENDOPEPTIDASE ACTIVITY%GOBP%GO:2000116	0.395	0.599163353402249
SENSORY PERCEPTION OF TASTE%GOBP%GO:0050909	SENSORY PERCEPTION OF TASTE%GOBP%GO:0050909	0.395	0.599163353402249
RESPONSE TO MURAMYL DIPEPTIDE%GOBP%GO:0032495	RESPONSE TO MURAMYL DIPEPTIDE%GOBP%GO:0032495	0.395	0.599163353402249
POSITIVE REGULATION OF RELEASE OF SEQUESTERED CALCIUM ION INTO CYTOSOL%GOBP%GO:0051281	POSITIVE REGULATION OF RELEASE OF SEQUESTERED CALCIUM ION INTO CYTOSOL%GOBP%GO:0051281	0.395	0.599163353402249
MIRNA-MEDIATED GENE SILENCING BY INHIBITION OF TRANSLATION%GOBP%GO:0035278	MIRNA-MEDIATED GENE SILENCING BY INHIBITION OF TRANSLATION%GOBP%GO:0035278	0.395	0.599163353402249
INTRACELLULAR CALCIUM ION HOMEOSTASIS%GOBP%GO:0006874	INTRACELLULAR CALCIUM ION HOMEOSTASIS%GOBP%GO:0006874	0.395	0.599163353402249
NEGATIVE REGULATION OF RESPONSE TO OXIDATIVE STRESS%GOBP%GO:1902883	NEGATIVE REGULATION OF RESPONSE TO OXIDATIVE STRESS%GOBP%GO:1902883	0.395	0.599163353402249
NEGATIVE REGULATION OF ALPHA-BETA T CELL DIFFERENTIATION%GOBP%GO:0046639	NEGATIVE REGULATION OF ALPHA-BETA T CELL DIFFERENTIATION%GOBP%GO:0046639	0.395	0.599163353402249
DNA DAMAGE RESPONSE, SIGNAL TRANSDUCTION BY P53 CLASS MEDIATOR RESULTING IN CELL CYCLE ARREST%GOBP%GO:0006977	DNA DAMAGE RESPONSE, SIGNAL TRANSDUCTION BY P53 CLASS MEDIATOR RESULTING IN CELL CYCLE ARREST%GOBP%GO:0006977	0.395	0.599163353402249
CALCIUM ION IMPORT ACROSS PLASMA MEMBRANE%GOBP%GO:0098703	CALCIUM ION IMPORT ACROSS PLASMA MEMBRANE%GOBP%GO:0098703	0.395	0.599163353402249
NEGATIVE REGULATION OF RESPONSE TO TYPE II INTERFERON%GOBP%GO:0060331	NEGATIVE REGULATION OF RESPONSE TO TYPE II INTERFERON%GOBP%GO:0060331	0.395	0.599163353402249
